Tagalog Sentence,Tagged Sentence,English Translation,Pronoun Annotation
Siya ay nagbabasa.,"Siya [singular, third-person, gender-neutral] ay nagbabasa.",They are reading.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagbabasa.,"Sila [plural, third-person] ay nagbabasa.",They are reading.,"Pronoun = ""they,"" plural"
Si Maria ay nagluluto. Siya ay kumakain.,"Si Maria ay nagluluto. Siya [singular, third-person, gender-specific] ay kumakain.",Maria is cooking. She is eating.,"Pronoun = ""she,"" singular, gender-specific"
Si Juan ay tumatakbo. Siya ay uhaw.,"Si Juan ay tumatakbo. Siya [singular, third-person, gender-specific] ay uhaw.",Juan is running. He is thirsty.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nagkakamot.,"Siya [singular, third-person, gender-neutral] ay nagkakamot.",They are itching.,"Pronoun = ""they,"" singular, gender-neutral"
Si Maria ay nagluluto. Siya ay kumakain.,"Si Maria ay nagluluto. Siya [singular, third-person, gender-specific] ay kumakain.",Maria is cooking. She is eating.,"Pronoun = ""she,"" singular, gender-specific"
Sila ay nagtatrabaho sa opisina.,"Sila [plural, third-person] ay nagtatrabaho sa opisina.",They are working in the office.,"Pronoun = ""they,"" plural"
Ito ay kanyang libro.,"Ito [singular, possessive, gender ambiguous] ay kanyang libro.",This is his/her book.,"Possessive pronoun, gender ambiguous"
Ang guro ay nagtuturo. Siya ay masipag.,"Ang guro ay nagtuturo. Siya [singular, third-person, inferred gender] ay masipag.",The teacher is teaching. She is hardworking.,"Pronoun = ""she,"" singular, inferred gender"
Ako ay kumakain ng almusal.,Ako [first-person singular] ay kumakain ng almusal.,I am eating breakfast.,"Pronoun = ""I,"" first-person singular"
Ikaw ay malakas.,"Ikaw [second-person, informal] ay malakas.",You are strong.,"Pronoun = ""you,"" second-person informal"
Siya ay nagtuturo sa sarili niya.,"Siya [singular, third-person, reflexive] ay nagtuturo sa sarili niya.",They are teaching themselves.,"Pronoun = ""they,"" singular, reflexive"
Ito ay kanilang bahay.,"Ito [plural, possessive] ay kanilang bahay.",This is their house.,"Possessive pronoun, plural"
